23 Mar 2015,9:01 PM,"Kawasan Pesisir Demak, Potensi Bikin BUMDes Perikanan #AyoBikinBUMDes I http://goo.gl/c2Bqf0 ",False,,4,,/KemenDesa/status/580006465764655104
23 Mar 2015,3:30 PM,"(23/3) Blusukan #MenteriDesa @marwan_jafar di Desa Penghasil Rajungan, Desa Betahwalang, Kec. Bonang, Kab. Demakpic.twitter.com/cUSxnC0BrX",False,,7,1,/KemenDesa/status/579923036805066753
23 Mar 2015,3:06 PM,"""Desa Kuat Rakyat Berjaya"" @marwan_jafar #menteridesa saat kunjungannya di Demakpic.twitter.com/SraA3cpO91",False,,1,1,/KemenDesa/status/579917028091240448
23 Mar 2015,2:56 PM,(23/3) Pertemuan #MenteriDesa @marwan_jafar  dengan Apdesi se-kab Demak Pendopo Kab. Demak - Jawa Tengahpic.twitter.com/CMkM0HvVXg,False,,1,,/KemenDesa/status/579914527048802304
23 Mar 2015,10:47 AM,"#kemendesanews 
Desa Wisata Alam Harus Berbasis Lingkungan - http://Kompas.com  http://kom.ps/AFrOjl  | @marwan_jafar",False,,1,,/KemenDesa/status/579852018950406144
23 Mar 2015,10:47 AM,"#kemendesanews Didatangi Menteri, Warga Desa Lasem Kaget | Republika Online http://nasional.republika.co.id/berita/nasional/umum/15/03/23/nlmwqa-didatangi-menteri-warga-desa-lasem-kaget … via @republikaonline | cc @marwan_jafar",False,,,,/KemenDesa/status/579851899693764611
23 Mar 2015,10:46 AM,#kemendesanews Menteri Desa Lihat Bukit Jamur di Gresik Sambil Bicara Dana Desa http://surabaya.tribunnews.com/2015/03/21/menteri-desa-lihat-bukit-jamur-di-gresik-sambil-bicara-dana-desa … via @tribunnews | cc @marwan_jafar,False,,1,,/KemenDesa/status/579851725638483968
23 Mar 2015,10:46 AM,#kemendesanews Menteri Ingatkan 34 Desa di Gresik Segera Gelar Pilkades http://surabaya.tribunnews.com/2015/03/22/menteri-ingatkan-34-desa-di-gresik-segera-gelar-pilkades … via @tribunnews | cc @marwan_jafar,False,1,,,/KemenDesa/status/579851577432743936
23 Mar 2015,10:44 AM,"#Kemendesanews 
Kunjungan Kerja Menteri DPDT2 ke Lamongan   via @metro_tv http://metrotvn.ws/A374902  | cc @marwan_jafar",False,,,,/KemenDesa/status/579851089786245120
23 Mar 2015,10:43 AM,"#kemendesanews 
Menteri Desa PDT Janjikan Revisi PP 43 @detiknews http://tinyurl.com/md7zsr3  | cc @marwan_jafar",False,,,,/KemenDesa/status/579850974669328384
